"Afrikaans","afr"
"Arabic","ara"
"Aramaic","arc"
"Official Aramaic; Imperial Aramaic (arc)","arc"
"Berber","ber"
"Bosnisch","bos"
"Modern Mandarin Chinese","chi"
"Hakka","chi"
"Chinese Script, Modern Mandarin, Hakka, Taiwanese, Bunun, Tsou, Ami","chi"
"Chinese","chi"
"Czech","cze"
"(and Dutch questionnaire)","dut"
"Codebook in Dutch","dut"
"Data: Nederlands","dut"
"dut/nld","dut"
"Dutch","dut"
"dutch","dut"
"Dutch (Questionnaires presented to participants only)","dut"
"Dutch, heavy Texel accent","dut"
"Dutch/Nederlands","dut"
"In het Nederland","dut"
"In het Nederlands","dut"
"in het Nederlands","dut"
"In het Nederlands.","dut"
"in het Nederlands.","dut"
"In Nederlands","dut"
"in Nederlands","dut"
"Interview: Dutch","dut"
"Nderlands","dut"
"ned","dut"
"Nederland","dut"
"Nederlands","dut"
"nederlands","dut"
"Nederlandse","dut"
"nedl","dut"
"partly Dutch","dut"
"Subtitles: Dutch","dut"
"Subtitling: Dutch","dut"
"Survey instruments in Dutch","dut"
"Transcripts in Dutch","dut"
"Vlaams","dut"
"Artikelen: Nederlands en Engels","dut,eng"
"Data files with Greek characters in their names are also included in the data set. However, language to describe the content of this data set is primarily English and occasionally Dutch.","dut,eng"
"Dutch and English","dut,eng"
"Dutch, English","dut,eng"
"English and Dutch","dut,eng"
"Description in English","eng"
"Documentation in English","eng"
"eng","eng"
"Engels","eng"
"English","eng"
"English (Summary)","eng"
"English (summary)","eng"
"English summary","eng"
"Interview: English","eng"
"partially English","eng"
"Subtitles: English","eng"
"Subtitling: English","eng"
"summary and conclusion in English","eng"
"Summary in English","eng"
"summary in English","eng"
"English and Portuguese","eng,por"
"Ewe","ewe"
"Fante","fat"
"Filipino","fil"
"Frans","fre"
"fre/fra","fre"
"French","fre"
"North Frisian","frr"
"een paar woorden Fries","fry"
"Fries","fry"
"Frisian","fry"
"Deutsch (Zusammenfassung)","ger"
"Deutsche Zusammenfassung","ger"
"Duits","ger"
"ger/deu","ger"
"German","ger"
"German (appendix 2)","ger"
"German (phonetic notation)","ger"
"German (summary)","ger"
"German summary","ger"
"Duits/Nederlands","ger,dut"
"greek (new testament)","grc"
"Ancient Greek","grc"
"Greek","gre"
"Hebrew","heb"
"Hebrew (some interviews)","heb"
"Interview: Hebrew","heb"
"Hindi","hin"
"Croatian","hrv"
"Hungarian","hun"
"Hungarian, German","hun,ger"
"Bahasa","ind"
"Bahasa Indonesia","ind"
"Bahasa indonesia","ind"
"Indonesian","ind"
"Indonesisch","ind"
"Italian","ita"
"Includes Dutch, Italian and Swedish (filmtitles)","ita,dut,swe"
"Javaans","jav"
"Javanese","jav"
"Japanese","jpn"
"Japans","jpn"
"Kinyarwanda","kin"
"Latin","lat"
"Names of Regions, Cities, Districts are in original languge - in Latvian","lav"
"Limburg","lim"
"Limburgs","lim"
"Ambon-Maleis","may"
"Maleis","may"
"Maleis doorspekt met Nederlandse woorden en zinsdelen","may"
"Nepali","nep"
"Papiamento","pap"
"Papiamentu","pap"
"Polish","pol"
"One documentary available with English and Polish subtitles","pol,eng"
"one documentary available with English and Polish subtitles","pol,eng"
"Portuguese","por"
"Interview: Russian","rus"
"Russian","rus"
"Russian (some interviews)","rus"
"Russisch","rus"
"dse","sgn"
"Sign Language of the Netherlands","sgn"
"Spanish","spa"
"Sranan Tongo","srn"
"Syriac","syr"
"a little bit of Jiddish","yid"
"Jiddisch","yid"
"Yiddish","yid"
"Interview: English and some Yiddish","yid,eng"
"Interview: Russian and Yiddish","yid,rus"
